,V1,V2,V3,V4
76,chromacens.skew.03,1.85E-05,0.009299016,LibROSA
152,chromacqt.min.07,2.13E-05,0.010732776,LibROSA
282,mfcc.kurtosis.17,2.14E-05,0.010755741,LibROSA
241,chromastft.min.12,4.94E-05,0.024826234,LibROSA
494,tonnetz.max.06,5.48E-05,0.027554508,LibROSA
151,chromacqt.min.06,0.000111364,0.056015913,LibROSA
477,spectralrolloff.max.01,0.000136481,0.06865006,LibROSA
383,mfcc.skew.18,0.00025134,0.126424107,LibROSA
68,chromacens.min.07,0.000269001,0.135307565,LibROSA
81,chromacens.skew.08,0.000288783,0.145257848,LibROSA
183,chromastft.kurtosis.02,0.000304682,0.153254849,LibROSA
75,chromacens.skew.02,0.000342945,0.172501578,LibROSA
147,chromacqt.min.02,0.000470273,0.236547127,LibROSA
85,chromacens.skew.12,0.000545864,0.274569837,LibROSA
78,chromacens.skew.05,0.000662726,0.333351254,LibROSA
62,chromacens.min.01,0.001330342,0.669161811,LibROSA
169,chromacqt.skew.12,0.001434311,0.721458391,LibROSA
14,chromacens.kurtosis.01,0.186420512,1,LibROSA
15,chromacens.kurtosis.02,0.204190465,1,LibROSA
17,chromacens.kurtosis.04,0.689413276,1,LibROSA
18,chromacens.kurtosis.05,0.441751083,1,LibROSA
19,chromacens.kurtosis.06,0.053334858,1,LibROSA
20,chromacens.kurtosis.07,0.759241472,1,LibROSA
21,chromacens.kurtosis.08,0.57558715,1,LibROSA
22,chromacens.kurtosis.09,0.668603107,1,LibROSA
23,chromacens.kurtosis.10,0.92149925,1,LibROSA
24,chromacens.kurtosis.11,0.028650155,1,LibROSA
25,chromacens.kurtosis.12,0.836242316,1,LibROSA
64,chromacens.min.03,0.061050711,1,LibROSA
65,chromacens.min.04,0.154660161,1,LibROSA
66,chromacens.min.05,0.462162622,1,LibROSA
67,chromacens.min.06,0.244132215,1,LibROSA
70,chromacens.min.09,0.075659195,1,LibROSA
71,chromacens.min.10,0.06716405,1,LibROSA
72,chromacens.min.11,0.305048677,1,LibROSA
73,chromacens.min.12,0.475174919,1,LibROSA
80,chromacens.skew.07,0.078932198,1,LibROSA
82,chromacens.skew.09,0.052126333,1,LibROSA
98,chromacqt.kurtosis.01,0.0858678,1,LibROSA
99,chromacqt.kurtosis.02,0.177008834,1,LibROSA
102,chromacqt.kurtosis.05,0.068739181,1,LibROSA
103,chromacqt.kurtosis.06,0.330239086,1,LibROSA
104,chromacqt.kurtosis.07,0.312285332,1,LibROSA
106,chromacqt.kurtosis.09,0.572173864,1,LibROSA
107,chromacqt.kurtosis.10,0.461207395,1,LibROSA
